ID,Body,Question,Equation,Answer,Type,question_concat
chal-761,Each basket of peaches has 19 red peaches and 4 green peaches. If there are 15 such baskets,How many peaches are in the baskets altogether?,( ( 19.0 + 4.0 ) * 15.0 ),345,Multiplication,Each basket of peaches has 19 red peaches and 4 green peaches. If there are 15 such baskets How many peaches are in the baskets altogether?
chal-50,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.,How many more baseball cards than Ace cards does Nell have?,( 415.0 - 149.0 ),266,Subtraction,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have?
chal-733,There are 270 students in a school. If the school has 5 students in each grades and each grade has the same number of students,How many grades are there in total?,( 270.0 / 5.0 ),54,Common-Division,There are 270 students in a school. If the school has 5 students in each grades and each grade has the same number of students How many grades are there in total?
chal-337,In a school there are 34 girls and 841 boys.,How many more boys than girls does the school have?,( 841.0 - 34.0 ),807,Subtraction,In a school there are 34 girls and 841 boys. How many more boys than girls does the school have?
chal-451,He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges.,How many days did it take to harvest them if they harvested 18 sacks of oranges per day?,( 54.0 / 18.0 ),3,Common-Division,He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges. How many days did it take to harvest them if they harvested 18 sacks of oranges per day?
chal-791,Zachary did 46 push-ups and 58 crunches in gym class today. David did 38 more push-ups but 62 less crunches than zachary.,How many more crunches than push-ups did Zachary do?,( 58.0 - 46.0 ),12,Subtraction,Zachary did 46 push-ups and 58 crunches in gym class today. David did 38 more push-ups but 62 less crunches than zachary. How many more crunches than push-ups did Zachary do?
chal-351,"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially",How many more trees died in the typhoon than those that survived?,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction,"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially How many more trees died in the typhoon than those that survived?"
chal-468,A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book,How many pages are in the first chapter?,( 67.0 - 36.0 ),31,Subtraction,A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book How many pages are in the first chapter?
chal-623,During summer break 610769 kids from Lawrence county go to camp and the other 590796 kids stay home. An additional 22 kids from outside the county attended the camp.,About how many kids are in Lawrence county?,( 610769.0 + 590796.0 ),1201565,Addition,During summer break 610769 kids from Lawrence county go to camp and the other 590796 kids stay home. An additional 22 kids from outside the county attended the camp. About how many kids are in Lawrence county?
chal-477,Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178,How many weeks did the harvest last?,( 178.0 / 2.0 ),89,Common-Division,Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178 How many weeks did the harvest last?
chal-615,Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g,Total how many grams of wax do the feathers require?,( 557.0 + 17.0 ),574,Addition,Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g Total how many grams of wax do the feathers require?
chal-555,For the walls of the house he would use 8 large planks of wood. If each plank of wood needs 74 pieces of nails to be secured,How many planks does John need for the house wall?,8.0,8,Common-Division,For the walls of the house he would use 8 large planks of wood. If each plank of wood needs 74 pieces of nails to be secured How many planks does John need for the house wall?
chal-366,Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary.,How many push-ups did Zachary and David do altogether?,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition,Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary. How many push-ups did Zachary and David do altogether?
chal-771,Mary is baking a cake. The recipe calls for 9 cups of sugar 14 cups of flour and 40 cups of salt. She already put in 4 cups of flour.,How many more cups of flour than cups of sugar does she need to add now?,( ( 14.0 - 4.0 ) - 9.0 ),1,Subtraction,Mary is baking a cake. The recipe calls for 9 cups of sugar 14 cups of flour and 40 cups of salt. She already put in 4 cups of flour. How many more cups of flour than cups of sugar does she need to add now?
chal-631,Paco had 8 sweet cookies and 6 salty cookies. He ate 20 sweet cookies and 34 salty cookies.,How many more salty cookies than sweet cookies did he eat?,( 34.0 - 20.0 ),14,Subtraction,Paco had 8 sweet cookies and 6 salty cookies. He ate 20 sweet cookies and 34 salty cookies. How many more salty cookies than sweet cookies did he eat?
chal-941,The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time,How many seats does the Ferris wheel have?,( 18.0 / 9.0 ),2,Common-Division,The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time How many seats does the Ferris wheel have?
chal-798,A mailman gives 2 junk mails to each house in a block. If the mailman has to give 14 pieces of junk mail to each block.,How many houses are there in a block?,( 14.0 / 2.0 ),7,Common-Division,A mailman gives 2 junk mails to each house in a block. If the mailman has to give 14 pieces of junk mail to each block. How many houses are there in a block?
chal-497,Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection.,How many more bottle caps than wrappers does danny have now?,( 28.0 - 16.0 ),12,Subtraction,Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection. How many more bottle caps than wrappers does danny have now?
chal-925,There are many different books in the ' crazy silly school ' series. If you have read 13 of the books and are yet to read 8 books,How many books are there in the ' crazy silly school ' series?,( 13.0 + 8.0 ),21,Addition,There are many different books in the ' crazy silly school ' series. If you have read 13 of the books and are yet to read 8 books How many books are there in the ' crazy silly school ' series?
chal-370,Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7.,How much did Edward have before he spent his money?,( ( 17.0 - 10.0 ) + 7.0 ),14,Addition,Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7. How much did Edward have before he spent his money?
chal-597,Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet,What is the length of her room?,( 14.0 / 7.0 ),2,Common-Division,Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet What is the length of her room?
chal-721,Jessie weighed 71 kilograms. After she started to go jogging everyday she lost 20 kilograms.,How much does she weigh now?,( 71.0 - 20.0 ),51,Subtraction,Jessie weighed 71 kilograms. After she started to go jogging everyday she lost 20 kilograms. How much does she weigh now?
chal-54,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy,How many bags would he have?,( 22.0 / 11.0 ),2,Common-Division,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy How many bags would he have?
chal-427,Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends,How many cakes did each person eat?,( 30.0 / 2.0 ),15,Common-Division,Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends How many cakes did each person eat?
chal-57,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.",How many green and yellow peaches are in the basket?,( 6.0 + 14.0 ),20,Addition,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket. How many green and yellow peaches are in the basket?"
chal-265,"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish.",How many more hours does he spend on learning english than he does on learning spanish?,( 7.0 - 4.0 ),3,Subtraction,"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning english than he does on learning spanish?"
chal-773,Jack received 10 emails and 12 letters in the morning. He then received 3 emails and 44 letters in the afternoon.,How many more emails did Jack receive in the morning than in the afternoon?,( 10.0 - 3.0 ),7,Subtraction,Jack received 10 emails and 12 letters in the morning. He then received 3 emails and 44 letters in the afternoon. How many more emails did Jack receive in the morning than in the afternoon?
chal-186,Kelly has 106 nintendo games.,How many will she have left if she gives away 64 games?,( 106.0 - 64.0 ),42,Subtraction,Kelly has 106 nintendo games. How many will she have left if she gives away 64 games?
chal-467,The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days.,How much did they make in all?,( 382.0 + 374.0 ),756,Addition,The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days. How much did they make in all?
chal-790,Winter is almost here and most animals are migrating to warmer countries. There are 8 bird families living near the mountain. If 42 bird families flew away to africa and 31 bird families flew away to asia,How many more bird families flew away to africa than those that flew away to asia?,( 42.0 - 31.0 ),11,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There are 8 bird families living near the mountain. If 42 bird families flew away to africa and 31 bird families flew away to asia How many more bird families flew away to africa than those that flew away to asia?
chal-175,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches.,How many more peaches does Jake have than Jill?,( 8.0 - 3.0 ),5,Subtraction,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches. How many more peaches does Jake have than Jill?
chal-151,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet,How deep was the water?,( ( 14.0 - 8.0 ) * 2.0 ),12,Multiplication,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet How deep was the water?
chal-742,Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. If he learns for 5 days,How many hours does he spend on learning english and chinese in all?,( ( 6.0 + 7.0 ) * 5.0 ),65,Multiplication,Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. If he learns for 5 days How many hours does he spend on learning english and chinese in all?
chal-114,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening.",How many more emails did Jack receive in the afternoon than in the evening?,( 5.0 - 4.0 ),1,Subtraction,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?"
chal-429,Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book.,How many pages are in each chapter?,( 555.0 / 5.0 ),111,Common-Division,Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book. How many pages are in each chapter?
chal-966,"A chef had 40 apples and 54 peaches. After making some pies, he had 39 apples left.",How many apples did he use?,( 40.0 - 39.0 ),1,Subtraction,"A chef had 40 apples and 54 peaches. After making some pies, he had 39 apples left. How many apples did he use?"
chal-19,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection.,How many wrappers did danny have at first?,( 57.0 - 30.0 ),27,Subtraction,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?
chal-190,Jack received 6 emails in the morning and 2 emails in the afternoon.,How many more emails did Jack receive in the morning than in the afternoon?,( 6.0 - 2.0 ),4,Subtraction,Jack received 6 emails in the morning and 2 emails in the afternoon. How many more emails did Jack receive in the morning than in the afternoon?
chal-415,Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection.,How many more wrappers than bottle caps did danny find at the park?,( 28.0 - 11.0 ),17,Subtraction,Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?
chal-590,Jack received 5 emails and 6 letters in the morning. He then received 9 emails and 7 letters in the afternoon.,How many letters did jack receive in the day?,( 6.0 + 7.0 ),13,Addition,Jack received 5 emails and 6 letters in the morning. He then received 9 emails and 7 letters in the afternoon. How many letters did jack receive in the day?
chal-667,Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf.,How many action figures were on his shelf in all?,( 4.0 + 6.0 ),10,Addition,Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf. How many action figures were on his shelf in all?
chal-764,Paul got a box of 267 crayons for his birthday. During the school year he lost 231 crayons while he gave away 308 crayons to his friends.,How many more crayons did he give to his friends than those he lost?,( 308.0 - 231.0 ),77,Subtraction,Paul got a box of 267 crayons for his birthday. During the school year he lost 231 crayons while he gave away 308 crayons to his friends. How many more crayons did he give to his friends than those he lost?
chal-222,The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game,How much money did they make from selling the t-shirts during the Texas tech game?,( 78.0 * ( 186.0 - 172.0 ) ),1092,Multiplication,The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the Texas tech game?
chal-587,21 children were riding on the bus. At the bus stop 10 children got off the bus while some more got on the bus. Then there were 16 children altogether on the bus.,How many children got on the bus at the bus stop?,( ( 16.0 - 21.0 ) + 10.0 ),5,Addition,21 children were riding on the bus. At the bus stop 10 children got off the bus while some more got on the bus. Then there were 16 children altogether on the bus. How many children got on the bus at the bus stop?
chal-582,Every day Ryan spends 5 hours on learning chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning chinese,How many hours does he spend on learning english?,( 5.0 + 2.0 ),7,Addition,Every day Ryan spends 5 hours on learning chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning chinese How many hours does he spend on learning english?
chal-300,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog.",How far did the mouse jump?,( ( 25.0 + 18.0 ) + 2.0 ),45,Addition,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?"
chal-639,Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon.,How many emails did Jack send in the day?,( 2.0 + 8.0 ),10,Addition,Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon. How many emails did Jack send in the day?
chal-387,Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads.,How many beads did Emily have?,( 26.0 * 2.0 ),52,Multiplication,Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have?
chal-365,Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe,How many unripe apples does the tree have now?,( 5.0 - 3.0 ),2,Subtraction,Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe How many unripe apples does the tree have now?
chal-880,Marco and his dad went strawberry picking. Marco's strawberries weighed 10 pounds. If together their strawberries weighed 26 pounds.,How much more did his dad's strawberries weigh than his?,( ( 26.0 - 10.0 ) - 10.0 ),6,Subtraction,Marco and his dad went strawberry picking. Marco's strawberries weighed 10 pounds. If together their strawberries weighed 26 pounds. How much more did his dad's strawberries weigh than his?
chal-335,"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework.",How many pages of reading and biology homework did she have to complete?,( 10.0 + 6.0 ),16,Addition,"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework. How many pages of reading and biology homework did she have to complete?"
chal-17,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys,How many boys are there in that school?,( 697.0 - 228.0 ),469,Subtraction,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys How many boys are there in that school?
chal-203,Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book.,How many pages are there in the book?,( 22.0 * 569.0 ),12518,Multiplication,Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book. How many pages are there in the book?
chal-2,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start,How much did the candy bar cost?,( 4.0 - 3.0 ),1,Subtraction,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?
chal-39,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups,How big is each group of oranges?,( 356.0 / 178.0 ),2,Common-Division,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups How big is each group of oranges?
chal-291,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning.,How many more chocolate chip cookies did Helen bake yesterday compared to today?,( 197.0 - 66.0 ),131,Subtraction,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?
chal-494,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left.,How many pens did he sell in the garage sale?,( 106.0 - 14.0 ),92,Subtraction,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left. How many pens did he sell in the garage sale?
chal-248,There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block,How many pieces of junk mail should he give each block?,( 32.0 * 20.0 ),640,Multiplication,There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block How many pieces of junk mail should he give each block?
chal-507,Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left.,How many books did he sell in the garage sale?,( 108.0 - 66.0 ),42,Subtraction,Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left. How many books did he sell in the garage sale?
chal-897,Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package.,How many pieces does Robin have?,( ( 28.0 + 14.0 ) / 6.0 ),7,Common-Division,Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package. How many pieces does Robin have?
chal-714,Randy has 97 blocks. He uses some blocks to build a tower. If there are 72 blocks left,How many blocks did he use to build the tower?,( 97.0 - 72.0 ),25,Subtraction,Randy has 97 blocks. He uses some blocks to build a tower. If there are 72 blocks left How many blocks did he use to build the tower?
chal-892,"7 red peaches, 71 yellow peaches and 8 green peaches are in the basket.",How many more green peaches than red peaches are in the basket?,( 8.0 - 7.0 ),1,Subtraction,"7 red peaches, 71 yellow peaches and 8 green peaches are in the basket. How many more green peaches than red peaches are in the basket?"
chal-77,Rachel had to complete 2 pages of reading homework and 4 pages of math homework.,How many more pages of math homework than reading homework did she have?,( 4.0 - 2.0 ),2,Subtraction,Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have?
chal-912,Baker made 157 cakes and 169 pastries. If he sold 158 cakes and 147 pastries,How many more cakes than pastries did baker sell?,( 158.0 - 147.0 ),11,Subtraction,Baker made 157 cakes and 169 pastries. If he sold 158 cakes and 147 pastries How many more cakes than pastries did baker sell?
chal-793,"Rachel had to complete 2 pages of math homework, 3 pages of reading homework and 10 more pages of biology homework.",How many pages did she have to complete in all?,( ( 2.0 + 3.0 ) + 10.0 ),15,Addition,"Rachel had to complete 2 pages of math homework, 3 pages of reading homework and 10 more pages of biology homework. How many pages did she have to complete in all?"
chal-509,"Julia played tag with 5 kids on monday, 9 kids on tuesday and 15 kids on wednesday.",How many kids did she play with on monday and wednesday?,( 5.0 + 15.0 ),20,Addition,"Julia played tag with 5 kids on monday, 9 kids on tuesday and 15 kids on wednesday. How many kids did she play with on monday and wednesday?"
chal-178,The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game,How much money did they make from selling the t-shirts during the arkansas game?,( 98.0 * 89.0 ),8722,Multiplication,The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the arkansas game?
chal-843,The school is planning a field trip. The school has 24 classrooms. There are 120 students in the school with each classroom having the same number of students. There are 84 seats on each school bus.,How many students are in each class?,( 120.0 / 24.0 ),5,Common-Division,The school is planning a field trip. The school has 24 classrooms. There are 120 students in the school with each classroom having the same number of students. There are 84 seats on each school bus. How many students are in each class?
chal-201,A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda,How many bottles of regular soda did they have?,( 4.0 + 79.0 ),83,Addition,A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda How many bottles of regular soda did they have?
chal-766,There are 203 bananas and 63 oranges in Philip's collection. If the bananas are organized into 7 groups and oranges are organized into 95 groups,How big is each group of bananas?,( 203.0 / 7.0 ),29,Common-Division,There are 203 bananas and 63 oranges in Philip's collection. If the bananas are organized into 7 groups and oranges are organized into 95 groups How big is each group of bananas?
chal-910,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 36 inches. The frog jumped 17 inches farther than the grasshopper and the mouse jumped 15 inches farther than the frog.",How far did the frog jump?,( 36.0 + 17.0 ),53,Addition,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 36 inches. The frog jumped 17 inches farther than the grasshopper and the mouse jumped 15 inches farther than the frog. How far did the frog jump?"
chal-294,Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish.,How many more hours does he spend on learning english than he does on learning chinese?,( 6.0 - 3.0 ),3,Subtraction,Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?
chal-539,Josh had some marbles in his collection. He lost 21 marbles. If he has 12 marbles now,How many marbles did he have in his collection?,( 21.0 + 12.0 ),33,Addition,Josh had some marbles in his collection. He lost 21 marbles. If he has 12 marbles now How many marbles did he have in his collection?
chal-25,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now,How many action figures did he remove from the shelf?,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now How many action figures did he remove from the shelf?
chal-695,He has 9 apples more than Adam and Jackie together do. Adam and Jackie have 7 apples between them.,How many apples does He have?,( 7.0 + 9.0 ),16,Addition,He has 9 apples more than Adam and Jackie together do. Adam and Jackie have 7 apples between them. How many apples does He have?
chal-211,Baker made 170 cakes. He sold 78 of them and bought 31 new cakes.,How many more cakes did baker sell than those he bought?,( 78.0 - 31.0 ),47,Subtraction,Baker made 170 cakes. He sold 78 of them and bought 31 new cakes. How many more cakes did baker sell than those he bought?
chal-425,The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts.,How much money did they make from selling the t-shirts?,( ( 51.0 - 8.0 ) * 130.0 ),5590,Multiplication,The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts?
