question,answer,solution,difficulty,category,dataset,split,problem_text,solution_text,text_length,word_count,sentence_count,math_ops_count,number_count,difficulty_level,dataset_name,source_dataset,Problem,Rationale,correct,options,sQuestion,lSolutions,lEquations,iIndex,problem_id,subject,solution_steps,final_answer,symbolic_complexity,step_count
,,,,calculus,mathqa,validation,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,42,11,1,3,2,basic,mathqa_validation,mathqa_validation,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,2x + 3,a) x + 3 b) 2x + 3 c) 2x d) x^2 + 3,,,,,,,,,,
,,,,geometry,mathqa,validation,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,44,9,1,0,1,basic,mathqa_validation,mathqa_validation,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,25π,a) 10π b) 25π c) 50π d) 100π,,,,,,,,,,
,,,,algebra,mathqa,validation,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,30,8,1,2,2,basic,mathqa_validation,mathqa_validation,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,5,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
,,,,algebra,mathqa,validation,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",41,12,2,2,1,basic,mathqa_validation,mathqa_validation,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",2,a) 1 b) 2 c) 3 d) 4,,,,,,,,,,
,,,,speed,svamp,train,A train travels 120 miles in 2 hours. What is its speed in miles per hour?,,74,16,3,0,2,intermediate,svamp_train,svamp_train,,,,,A train travels 120 miles in 2 hours. What is its speed in miles per hour?,['60'],['120/2'],1.0,,,,,,
,,,,subtraction,svamp,train,John has 5 apples. He gives 2 to Mary. How many apples does John have now?,,74,16,4,0,2,intermediate,svamp_train,svamp_train,,,,,John has 5 apples. He gives 2 to Mary. How many apples does John have now?,['3'],['5-2'],2.0,,,,,,
,,,,area,svamp,train,A rectangle has length 8 and width 6. What is its area?,,55,12,3,0,2,intermediate,svamp_train,svamp_train,,,,,A rectangle has length 8 and width 6. What is its area?,['48'],['8*6'],3.0,,,,,,
,,,,distance,svamp,train,"If a car travels 60 miles per hour for 3 hours, how far does it travel?",,71,16,2,0,2,intermediate,svamp_train,svamp_train,,,,,"If a car travels 60 miles per hour for 3 hours, how far does it travel?",['180'],['60*3'],4.0,,,,,,
,,,,subtraction,svamp,train,There are 20 students in a class. 12 are girls. How many are boys?,,66,14,4,0,2,intermediate,svamp_train,svamp_train,,,,,There are 20 students in a class. 12 are girls. How many are boys?,['8'],['20-12'],5.0,,,,,,
,,,,speed,svamp,test,A train travels 120 miles in 2 hours. What is its speed in miles per hour?,,74,16,3,0,2,intermediate,svamp_test,svamp_test,,,,,A train travels 120 miles in 2 hours. What is its speed in miles per hour?,['60'],['120/2'],1.0,,,,,,
,,,,subtraction,svamp,test,John has 5 apples. He gives 2 to Mary. How many apples does John have now?,,74,16,4,0,2,intermediate,svamp_test,svamp_test,,,,,John has 5 apples. He gives 2 to Mary. How many apples does John have now?,['3'],['5-2'],2.0,,,,,,
,,,,area,svamp,test,A rectangle has length 8 and width 6. What is its area?,,55,12,3,0,2,intermediate,svamp_test,svamp_test,,,,,A rectangle has length 8 and width 6. What is its area?,['48'],['8*6'],3.0,,,,,,
,,,,distance,svamp,test,"If a car travels 60 miles per hour for 3 hours, how far does it travel?",,71,16,2,0,2,intermediate,svamp_test,svamp_test,,,,,"If a car travels 60 miles per hour for 3 hours, how far does it travel?",['180'],['60*3'],4.0,,,,,,
,,,,subtraction,svamp,test,There are 20 students in a class. 12 are girls. How many are boys?,,66,14,4,0,2,intermediate,svamp_test,svamp_test,,,,,There are 20 students in a class. 12 are girls. How many are boys?,['8'],['20-12'],5.0,,,,,,
,,,,,custom,,Solve for x: 2x + 5 = 13,x = 4,24,8,1,2,2,basic,custom,custom,,,,,,,,,P001,algebra,"['Subtract 5 from both sides: 2x = 8', 'Divide by 2: x = 4']",x = 4,2.0,2.0
,,,,,custom,,Find the derivative of f(x) = x^2 + 3x + 1,f'(x) = 2x + 3,42,11,1,3,2,intermediate,custom,custom,,,,,,,,,P002,calculus,"['Apply power rule: d/dx(x^2) = 2x', 'Apply constant rule: d/dx(3x) = 3', ""Result: f'(x) = 2x + 3""]",f'(x) = 2x + 3,4.0,3.0
,,,,,custom,,Calculate the area under the curve y = x^2 from x=0 to x=2,Area = 8/3,58,13,1,3,3,advanced,custom,custom,,,,,,,,,P003,calculus,"['Set up integral: ∫₀² x² dx', 'Apply power rule: [x³/3]₀²', 'Evaluate: 8/3 - 0 = 8/3']",Area = 8/3,6.0,3.0
,,,,,custom,,Prove that the sum of two even numbers is even,The sum is even,46,10,1,0,0,intermediate,custom,custom,,,,,,,,,P004,number_theory,"['Let a = 2k, b = 2m for integers k,m', 'a + b = 2k + 2m = 2(k + m)', 'Since k+m is integer, sum is even']",The sum is even,5.0,3.0
,,,,,custom,,Find the limit as x approaches 0 of (sin(x))/x,Limit = 1,46,9,1,1,1,advanced,custom,custom,,,,,,,,,P005,calculus,"[""Use L'Hôpital's rule"", 'd/dx(sin(x)) = cos(x), d/dx(x) = 1', 'Limit = cos(0)/1 = 1']",Limit = 1,7.0,3.0
